Display_Name,Player_Name,Nationality,Auction_Role,Season,Franchise,OVR,Career_OVR,Tier,Auction_Set,Base_Price_Cr,Status,Seasons_Played,Is_Wicketkeeper,Batting_Strike_Rate,Batting_Runs,Bowling_Economy,Bowling_Wickets
Shahbaz Nadeem,S Nadeem,Indian,Bowler,2013,DC,83,87,B,Bowlers - B,1.0,Capped,11,0,51.85,14,5.89,9
Aaron Finch,AJ Finch,Overseas,Batter,2016,GL,83,87,B,Batters - B,1.0,Capped,11,0,131.44,393,0.0,0
Venkatesh Iyer,VR Iyer,Indian,Batter,2021,KKR,83,87,B,Batters - B,1.0,Capped,6,0,128.47,370,8.12,3
Karn Sharma,KV Sharma,Indian,Bowler,2013,SRH,83,87,B,Bowlers - B,1.0,Capped,12,0,98.84,85,6.6,11
Washington Sundar,Washington Sundar,Indian,Bowler,2020,RCB,83,87,B,Bowlers - B,1.0,Capped,10,0,116.84,111,5.96,8
Sohail Tanvir,Sohail Tanvir,Overseas,Bowler,2008,RR,82,87,B,Bowlers - B,1.0,Capped,1,0,124.14,36,6.46,22
Andrew Symonds,A Symonds,Overseas,All-Rounder,2009,DCH,82,87,B,All-Rounders - B,1.0,Capped,4,0,150.0,249,6.67,7
Sachithra Senanayake,SMSM Senanayake,Overseas,Bowler,2013,KKR,82,87,B,Bowlers - B,1.0,Capped,1,0,58.82,10,6.53,9
RP Singh,RP Singh,Indian,Bowler,2009,DCH,82,87,B,Bowlers - B,1.0,Capped,7,0,47.06,8,6.99,23
Piyush Chawla,PP Chawla,Indian,Bowler,2009,PBKS,82,87,B,Bowlers - B,1.0,Capped,16,0,86.11,31,6.87,12
Dwayne Smith,DR Smith,Overseas,Batter,2014,CSK,82,87,B,Batters - B,1.0,Capped,9,0,136.06,566,9.5,4
Rohit Sharma,RG Sharma,Indian,Batter,2008,DCH,82,87,B,Batters - B,1.0,Capped,19,0,147.99,404,6.25,1
